textbook_question_id,relevance_rating
hendrycks_textbook_1.5.4_11,10
hendrycks_textbook_6.7.2_10,10
hendrycks_textbook_6.4.2_6,10
hendrycks_textbook_3.4.1_6,10
hendrycks_textbook_4.8.2_11,10
hendrycks_textbook_1.5.1_8,10
hendrycks_textbook_7.2.3_10,10
hendrycks_textbook_6.9.3_4,10
hendrycks_textbook_3.4.2_7,10
hendrycks_textbook_9.4_6,10
hendrycks_textbook_4.3_16,10
hendrycks_textbook_3.2.1_2,10
hendrycks_textbook_5.3.1_15,10
hendrycks_textbook_3.4.9_12,10
hendrycks_textbook_4.4.2_2,10
hendrycks_textbook_3.1_14,10
hendrycks_textbook_6.3.1_5,10
hendrycks_textbook_5.2.5_10,10
hendrycks_textbook_10.3.2_3,10
hendrycks_textbook_7.2.5_3,10
hendrycks_textbook_3.3.4_6,10
hendrycks_textbook_7.4.1_1,10
hendrycks_textbook_9.6_10,10
hendrycks_textbook_3.2.5_15,10
hendrycks_textbook_6.7.2_1,10
hendrycks_textbook_6.3.2_11,10
hendrycks_textbook_1.5.4_2,10
hendrycks_textbook_7.5.1_10,10
hendrycks_textbook_6.7.1_2,10
hendrycks_textbook_7.5.3_15,10
hendrycks_textbook_1.3.2_11,10
hendrycks_textbook_7.4.3_1,10
hendrycks_textbook_3.1_9,10
hendrycks_textbook_3.7_5,10
hendrycks_textbook_1.3.1_8,10
hendrycks_textbook_3.2.5_18,10
hendrycks_textbook_1.3.3_2,10
hendrycks_textbook_4.7.6_6,10
hendrycks_textbook_3.2.5_6,10
hendrycks_textbook_3.4.9_4,10
hendrycks_textbook_4.8.2_13,10
hendrycks_textbook_3.2.3_7,10
hendrycks_textbook_6.4.2_12,10
hendrycks_textbook_4.7.6_15,10
hendrycks_textbook_7.2.3_14,10
hendrycks_textbook_3.4.3_3,10
hendrycks_textbook_6.6.2_7,10
hendrycks_textbook_6.4.2_5,10
hendrycks_textbook_1.2.4_8,10
hendrycks_textbook_7.2.3_1,10
hendrycks_textbook_10.4.4_12,10
hendrycks_textbook_1.3.2_9,10
hendrycks_textbook_7.1_9,10
hendrycks_textbook_3.4.1_17,10
hendrycks_textbook_7.2.6_9,10
hendrycks_textbook_6.4.2_2,10
hendrycks_textbook_8.5.7_8,10
hendrycks_textbook_1.5_11,10
hendrycks_textbook_4.1.2_15,10
hendrycks_textbook_3.4.9_1,10
hendrycks_textbook_7.5.2_19,10
hendrycks_textbook_3.4.8_5,10
hendrycks_textbook_3.4.9_9,10
hendrycks_textbook_8.7_3,10
hendrycks_textbook_4.3.8_6,10
hendrycks_textbook_9.3_8,10
hendrycks_textbook_7.4.3_3,10
hendrycks_textbook_6.10_6,10
hendrycks_textbook_5.2.3_3,10
hendrycks_textbook_3.3_11,10
hendrycks_textbook_7.2.4_12,10
hendrycks_textbook_1.5_2,10
hendrycks_textbook_3.4.6_13,10
hendrycks_textbook_3.2.4_10,10
hendrycks_textbook_4.5_7,10
hendrycks_textbook_4.3.1_3,10
hendrycks_textbook_3.4.3_8,10
hendrycks_textbook_6.4.5_7,10
hendrycks_textbook_5.3.1_1,10
hendrycks_textbook_4.5.1_12,10
hendrycks_textbook_7.5.3_16,10
hendrycks_textbook_3.2.2_2,10
hendrycks_textbook_7.4.3_15,10
hendrycks_textbook_4.3.3_1,10
hendrycks_textbook_3.4.4_7,10
hendrycks_textbook_1.2.3_4,10
hendrycks_textbook_3.5_1,10
hendrycks_textbook_3.3.1_6,10
hendrycks_textbook_1.7_3,10
hendrycks_textbook_4.4.2_4,10
hendrycks_textbook_3.7_3,10
hendrycks_textbook_7.1_15,10
hendrycks_textbook_7.2.4_5,10
hendrycks_textbook_3.4.9_5,10
hendrycks_textbook_5.3.2_3,10
hendrycks_textbook_3.2.3_8,10
hendrycks_textbook_6.2.1_10,10
hendrycks_textbook_6.7.2_2,10
hendrycks_textbook_3.1_10,10
hendrycks_textbook_3.6_5,10
hendrycks_textbook_4.3.5_3,10
hendrycks_textbook_3.2.6_5,10
hendrycks_textbook_3.2.7_1,10
hendrycks_textbook_3.3.5_4,10
hendrycks_textbook_1.3.1_2,10
hendrycks_textbook_8.5_2,10
hendrycks_textbook_3.4.2_8,10
hendrycks_textbook_9.3_15,10
hendrycks_textbook_3.4.3_2,10
hendrycks_textbook_1.4.1_8,10
hendrycks_textbook_5.3.1_4,10
hendrycks_textbook_3.4_4,10
hendrycks_textbook_3.2.6_11,10
hendrycks_textbook_4.3_17,10
hendrycks_textbook_8.3.1_1,10
hendrycks_textbook_1.5_15,10
hendrycks_textbook_6.9.2_3,10
hendrycks_textbook_4.5.1_1,10
hendrycks_textbook_6.4.2_14,10
hendrycks_textbook_3.3.5_2,10
hendrycks_textbook_8.8_12,10
hendrycks_textbook_6.6.3_9,10
hendrycks_textbook_3.3.4_3,10
hendrycks_textbook_3.3.1_8,10
hendrycks_textbook_6.10_9,10
hendrycks_textbook_7.5.3_13,10
hendrycks_textbook_3.3_6,10
hendrycks_textbook_1.5.3_5,10
hendrycks_textbook_3.2.5_19,10
hendrycks_textbook_3.4.3_10,10
hendrycks_textbook_6.4.2_3,10
hendrycks_textbook_4.1.6_13,10
hendrycks_textbook_4.3.5_5,10
hendrycks_textbook_7.3.1_8,10
hendrycks_textbook_7.5.1_5,10
hendrycks_textbook_1.6_4,10
hendrycks_textbook_7.4.1_5,10
hendrycks_textbook_8.3.1_6,10
hendrycks_textbook_1.3.2_7,10
hendrycks_textbook_3.1_7,10
hendrycks_textbook_7.2.6_3,10
hendrycks_textbook_3.7_6,10
hendrycks_textbook_9.6_11,10
hendrycks_textbook_1.6_10,10
hendrycks_textbook_3.2.3_10,10
hendrycks_textbook_4.1.2_10,10
hendrycks_textbook_1.7_18,10
